,datetime,open,max,min,close,value
0,2024-03-14 14:00:00,12.6975,12.7135,12.6930,12.7095,11.758B
1,2024-03-14 13:00:00,12.7090,12.7100,12.6930,12.6985,19.703B
2,2024-03-14 12:00:00,12.7265,12.7290,12.7060,12.7090,17.487B
3,2024-03-14 11:00:00,12.7355,12.7425,12.7230,12.7270,15.788B
4,2024-03-14 10:00:00,12.7045,12.7375,12.7035,12.7355,20.631B
5,2024-03-14 09:00:00,12.6955,12.7190,12.6885,12.7040,6.06B
6,2024-03-14 08:00:00,12.7020,12.7020,12.6860,12.6955,1.04B
7,2024-03-14 07:00:00,12.7000,12.7145,12.6850,12.7020,1.628B
8,2024-03-13 18:00:00,12.6580,12.6940,12.6580,12.6865,3.105B
9,2024-03-13 17:00:00,12.6890,12.6890,12.6370,12.6580,21.224B
10,2024-03-13 16:00:00,12.6985,12.6985,12.6815,12.6890,12.82B
11,2024-03-13 15:00:00,12.7035,12.7145,12.6945,12.6985,15.104B
12,2024-03-13 14:00:00,12.7045,12.7205,12.6980,12.7030,17.372B
13,2024-03-13 13:00:00,12.7010,12.7175,12.6885,12.7045,17.363B
14,2024-03-13 12:00:00,12.7090,12.7110,12.6980,12.7010,20.108B
15,2024-03-13 11:00:00,12.7225,12.7400,12.7080,12.7090,24.111B
16,2024-03-13 10:00:00,12.7020,12.7250,12.6750,12.7215,35.857B
17,2024-03-13 09:00:00,12.7415,12.7490,12.6975,12.7020,7.322B
18,2024-03-13 08:00:00,12.7385,12.7450,12.7385,12.7415,888.021M
19,2024-03-13 07:00:00,12.7735,12.7850,12.7265,12.7400,1.293B
20,2024-03-12 18:00:00,12.7625,12.7690,12.7410,12.7690,4.587B
21,2024-03-12 17:00:00,12.7500,12.7750,12.7205,12.7620,14.163B
22,2024-03-12 16:00:00,12.6820,12.7580,12.6815,12.7505,26.203B
23,2024-03-12 15:00:00,12.6675,12.6840,12.6560,12.6815,20.385B
24,2024-03-12 14:00:00,12.6685,12.6705,12.6535,12.6675,11.42B
25,2024-03-12 13:00:00,12.6580,12.6770,12.6490,12.6680,12.239B
26,2024-03-12 12:00:00,12.6390,12.6640,12.6350,12.6575,20.025B
27,2024-03-12 11:00:00,12.6230,12.6395,12.6200,12.6380,18.56B
28,2024-03-12 10:00:00,12.5990,12.6290,12.5985,12.6230,14.78B
29,2024-03-12 09:00:00,12.5965,12.5990,12.5870,12.5990,6.159B
30,2024-03-12 08:00:00,12.5960,12.6035,12.5955,12.5960,1.049B
31,2024-03-12 07:00:00,12.5900,12.6135,12.5850,12.5975,1.093B
32,2024-03-11 18:00:00,12.6025,12.6040,12.5950,12.5955,3.344B
33,2024-03-11 17:00:00,12.5925,12.6040,12.5885,12.6030,7.42B
34,2024-03-11 16:00:00,12.6040,12.6045,12.5860,12.5925,7.35B
35,2024-03-11 15:00:00,12.5925,12.6050,12.5830,12.6040,12.485B
36,2024-03-11 14:00:00,12.5900,12.5945,12.5710,12.5925,14.294B
37,2024-03-11 13:00:00,12.5995,12.6055,12.5855,12.5900,9.841B
38,2024-03-11 12:00:00,12.5950,12.6075,12.5915,12.5995,14.203B
39,2024-03-11 11:00:00,12.6015,12.6180,12.5855,12.5950,19.165B
40,2024-03-11 10:00:00,12.6110,12.6110,12.5730,12.6015,24.299B
41,2024-03-11 09:00:00,12.6190,12.6190,12.6045,12.6110,3.22B
42,2024-03-11 08:00:00,12.6130,12.6200,12.6100,12.6190,1.203B
43,2024-03-11 07:00:00,12.6050,12.6275,12.6010,12.6140,750.707M
44,2024-03-07 18:00:00,12.6015,12.6085,12.5900,12.6005,2.275B
45,2024-03-07 17:00:00,12.5975,12.6090,12.5920,12.6005,4.779B
46,2024-03-07 16:00:00,12.6055,12.6150,12.5915,12.5965,10.398B
47,2024-03-07 15:00:00,12.5955,12.6185,12.5875,12.6050,10.788B
48,2024-03-07 14:00:00,12.5830,12.6020,12.5685,12.5985,10.992B
49,2024-03-07 13:00:00,12.5835,12.5855,12.5680,12.5815,11.436B
50,2024-03-07 12:00:00,12.5670,12.5945,12.5650,12.5825,13.665B
51,2024-03-07 11:00:00,12.5660,12.5725,12.5610,12.5665,13.444B
52,2024-03-07 10:00:00,12.5860,12.5900,12.5605,12.5660,10.327B
53,2024-03-07 09:00:00,12.5540,12.6000,12.5445,12.5860,7.875B
54,2024-03-07 08:00:00,12.5475,12.5560,12.5345,12.5530,1.223B
55,2024-03-07 07:00:00,12.5420,12.5535,12.5345,12.5475,346.345M
